molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL199341,Active,7.301029995663981,C=C(C(=O)O)C(CCCCCC)C(=O)O,214.120509056,2,2,2.2984,True
CHEMBL3649992,Active,8.154901959985743,C=C(C)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,464.17275172000006,7,1,5.349400000000004,True
CHEMBL3649990,Active,8.698970004336019,C=C(CCC)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,492.20405184800006,7,1,6.129600000000005,True
CHEMBL3675226,Inactive,6.167491087293763,C=C(CO)COC1(c2ccc(Cl)cc2)c2ccccc2C(=O)N1Cc1ccc([N+](=O)[O-])cc1,464.113899452,5,1,4.670400000000003,True
CHEMBL2347387,Inactive,5.853871964321762,C=CC[C@@H]1O[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,415.11058433600004,2,0,5.989300000000005,True
CHEMBL3687250,Active,8.90326373953753,C=CCn1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,453.13746778,3,0,6.8659400000000055,True
CHEMBL3693983,Active,7.772113295386326,CC(=O)N1CC(NC(=O)[C@@H]2NC3(CCCCC3)[C@@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)C1,558.160074368,4,3,4.127800000000003,True
CHEMBL3907671,Active,8.221848749616356,CC(=O)N1CCN(c2nc3cc(-c4nc(=O)o[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@@H](C)C1,564.236414596,9,1,4.373300000000004,True
CHEMBL3972127,Active,8.397940008672037,CC(=O)N1CCN(c2nc3cc(-c4nc(=O)o[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@H]2CCC[C@@H]21,590.25206466,9,1,4.905900000000004,True
CHEMBL3649943,Active,7.086186147616283,CC(=O)N1CCN(c2nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)C(C)C1C,578.25206466,9,1,4.7618000000000045,True
CHEMBL3649947,Active,8.397940008672037,CC(=O)N1CCN(c2nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@@H]2CCC[C@H]21,590.25206466,9,1,4.905900000000004,True
CHEMBL3649930,Active,8.221848749616356,CC(=O)N1CCN(c2nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@H](C)C1,564.236414596,9,1,4.373300000000004,True
